zip,confirmed_cases
60616,92
60069,11
60401,18
60046,33
60192,7
60115,16
60610,78
60123,38
60478,68
60564,32
62236,7
60624,151
60169,18
60418,14
60175,19
60438,66
60060,28
60487,25
60083,13
60464,9
60415,24
60607,70
60601,28
60656,42
60630,80
60458,10
60301,8
60636,117
60501,10
60103,24
60644,184
60544,25
60521,19
60189,20
61114,6
61801,10
60404,25
60143,6
60020,10
60707,74
60043,12
60089,41
60527,86
60467,29
60172,22
60561,32
62233,14
60613,107
60026,39
60126,37
60106,39
61102,7
60178,8
60012,10
60461,23
60510,7
60155,23
60435,98
60484,31
60653,108
60633,22
60455,42
60504,27
60490,42
60647,88
62568,20
60441,51
62711,7
61821,10
60545,7
60639,146
60044,21
60453,88
60067,17
60430,54
60090,45
60622,110
60516,23
62234,11
60714,52
61704,12
60422,32
60173,7
61109,6
60462,42
60628,229
60201,77
60130,36
60081,10
62002,12
60107,33
60436,21
60505,29
60087,53
61910,6
60064,56
60015,52
60605,46
61761,16
60007,29
60585,20
60193,35
60542,9
60442,14
62265,7
60642,25
60101,54
60047,26
60118,9
60450,7
60473,83
60805,38
60402,115
62208,11
60164,28
60187,6
61701,25
60124,11
60018,40
60659,132
60181,38
60525,36
60513,25
61853,6
60619,238
60465,25
60565,30
60419,78
60914,22
60035,76
60651,157
60153,65
60084,19
60439,24
62025,11
60631,55
60625,128
60459,38
60559,27
60608,158
60110,10
60061,22
60410,8
60433,41
60482,8
60041,6
60645,272
60502,13
60304,16
60104,92
60098,27
60004,30
61802,9
60142,14
62040,17
60165,8
60428,45
60451,26
62226,14
60305,9
60188,47
60136,8
60468,7
60706,31
60514,17
60660,63
61201,17
60620,269
60614,114
60073,74
60534,7
60156,13
60062,58
60560,12
60554,7
60626,94
60411,158
60085,178
60013,21
60434,17
61244,23
60654,39
60634,136
60646,48
60540,17
60491,31
60042,7
62269,14
60056,49
60050,16
62220,7
60448,21
61081,12
60099,63
61822,17
60640,101
62206,9
60425,36
60093,69
60022,13
60070,9
60139,37
60477,35
60803,21
60431,40
60185,40
60162,25
60563,25
60657,120
60030,22
60611,58
60623,163
60471,55
60417,31
60517,32
60176,13
60617,209
60076,96
60202,58
60010,19
60133,37
61241,7
60016,86
60457,19
60302,46
60053,43
60551,6
62223,11
60637,124
60643,178
62901,16
60102,23
60445,25
60543,29
60002,14
60403,39
60712,37
60048,30
60449,18
62702,8
60426,65
60827,82
60163,9
60804,120
60140,10
60950,8
62278,8
60432,28
60077,81
60409,94
60171,19
60612,156
60526,12
60031,42
60466,110
60472,16
60618,135
60025,97
60652,116
60154,51
60558,9
60177,10
60440,78
60203,14
60632,92
60134,13
61265,17
60532,16
60148,49
60160,44
60503,10
60005,17
60538,7
62959,6
60638,99
60446,49
60901,92
60546,22
60452,35
60120,37
60523,17
60191,7
60475,28
60045,56
60068,62
60406,50
60091,60
62298,14
60429,65
60137,28
60515,17
60621,84
60609,103
62035,6
60661,16
60074,32
60423,45
62095,6
60964,6
60615,109
60469,8
60174,14
60108,19
60463,28
60131,37
60649,147
60655,66
60606,11
60506,52
60629,162
60014,24
60555,6
62650,8
60194,18
60586,55
62221,16
60008,16
62258,7
60443,101
61282,6
60641,76
60051,16
